"標題","連結","日期",
"臺灣證券交易所訂於111年11月22日召開有價證券上市審議委員會第768次會議，將審議長榮航太科技(股)公司之申請股票上市案。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01848a04193f03ea","111年11月18日",
"主題式產業講座暨休閒運動產業法說會下周一起陸續登場","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018484319ba003cb","111年11月17日",
"臺灣證券交易所審議通過凱基投信「彭博全球菁英55指數(Bloomberg Global Industry Elite 55 Index)」ETF標的指數資格認可","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018480035c6003bf","111年11月16日",
"臺灣證券交易所有價證券上市審議委員會審議通過建德工業股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847ffb7b4803bb","111年11月16日",
"臺灣證券交易所對鴻海精密工業股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847ff7f48b03b7","111年11月16日",
"自111年11月17日起，同開停止買賣、中福及如興併案停止買賣、康控-KY列為變更交易方法且採行分盤集合競價交易方式、華冠取消分盤集合競價交易方式（仍列為變更交易方法）。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847aaaeb5e03a4","111年11月15日",
"雲豹能源申請臺灣創新板  「綠能界波克夏」加入再生能源產業聚落","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847a72f941039f","111年11月15日",
"證交所「我是股神」模擬下單競賽~第二階段活動開跑","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847a55d60c039b","111年11月15日",
"全體上市公司(不含金控)111年前三季營收獲利續創佳績","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018479e4995d0391","111年11月15日",
"齊力挺新創！證交所參展新創圈年度盛會「2022 Meet Taipei 創新創業嘉年華」","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018478d2b64e038b","111年11月15日",
"本國及第一上市公司(不含金融控股公司) 除同開、中福及如興外，均已申報111年第3季財務報告","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018475c69d040386","111年11月14日",
"臺灣證券交易所訂於11月16日召開有價證券上市審議委員會第767次會議，將審議建德工業(股)公司之申請股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018475aec5b10382","111年11月14日",
"臺灣證券交易所對和大工業股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018475ac3893037e","111年11月14日",
"臺灣證券交易所對聯合再生能源股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018475a93b09037a","111年11月14日",
"「伯特光電股份有限公司」（證券代號：6859）採競價拍賣方式辦理承銷，於今（11／14）日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184750cc47e0374","111年11月14日",
"「視陽光學股份有限公司」（證券代號：6782）採競價拍賣方式辦理承銷，於今（11／14）日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184750506ae0370","111年11月14日",
"上週外資在集中市場買超895.27億元，買超聯電20.45萬張最多，另賣超鴻海8.42萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018474be4ab1036c","111年11月14日",
"臺韓交易所首長會談，交流ESG及扶植新創產業經驗","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01847442458f0368","111年11月14日",
"第19屆「校園證券投資智慧王」初賽即將開跑","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018473d1c35e0361","111年11月14日",
"證交所舉辦111年度證券經紀商及自營商高階主管業務宣導會暨110年度機構投資人盡職治理資訊揭露優良證券商頒獎典禮圓滿成功","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018466442d4b035c","111年11月11日",
"臺灣證券交易所對華園飯店股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184662b9f4a0358","111年11月11日",
"本週發行量加權股價指數漲幅約為7.53%，上市股票總市值達43.78兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018465f9d7e70354","111年11月11日",
"泰昇國際(控股)有限公司（泰昇-KY，證券代號：8480）因進行合併，其有價證券自111年12月15日起停止買賣，並於111年12月21日起終止上市暨停止公開發行","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018465c979860350","111年11月11日",
"全體上市公司111年10月份當月營收較110年同期成長6.11％，累計營業收入較110年同期成長9.23％","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01846562ccf20348","111年11月11日",
"2022年第4季MSCI指數臺股權重調整結果","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184655554ae0344","111年11月11日",
"主題式產業講座及盛達等5家上市公司假證交所舉辦之法人說明會於下周登場","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184611b1d91033b","111年11月10日",
